txn_id,txn_datetime,txn_date,txn_month,txn_year,txn_hour,day_of_week,user_id,user_city,user_city_tier,user_age,user_gender,user_activity_level,merchant_id,merchant_name,merchant_category,merchant_city,platform_used,preferred_platform,is_preferred_platform,payment_mode,device_type,amount,status,unusual_hour_flag,high_amount_flag,round_amount_flag,velocity_flag,fraud_score,is_fraud,is_weekend,time_of_day,is_festival_month,quarter,amount_bucket,is_success,is_failed,is_cross_city,age_group
TXN00000012,11-12-2023 07:02,11-12-2023,12,2023,7,Monday,USR005371,Coimbatore,Tier2,30,Female,Medium,MER01990,Purohit Spa,Salon & Wellness,Bhopal,Paytm,PhonePe,0,UPI ID,Android,842.02,Success,0,0,0,0,0,0,0,Morning,0,4,Medium (500-1K),1,0,1,Millennial (26-35)
TXN00000013,12-09-2022 19:42,12-09-2022,9,2022,19,Monday,USR001633,Indore,Tier2,40,Female,Medium,MER01020,Mital OTT Platform,Entertainment,Patna,Google Pay,Google Pay,1,UPI ID,Android,352.2,Success,0,0,0,0,0,0,0,Evening,1,3,Small (100-500),1,0,1,Gen X (36-45)
TXN00000014,17-12-2023 20:30,17-12-2023,12,2023,20,Sunday,USR005631,Mumbai,Tier1,44,Male,Medium,MER01579,Chander HP Petrol,Fuel,Bangalore,PhonePe,PhonePe,1,Intent,Android,2699.72,Success,0,0,0,0,0,0,1,Evening,0,4,Large (1K-5K),1,0,1,Gen X (36-45)
TXN00000015,15-03-2022 10:44,15-03-2022,3,2022,10,Tuesday,USR000423,Bangalore,Tier1,22,Female,Medium,MER00593,Yadav Cab Service,Travel,Lucknow,Google Pay,Google Pay,1,UPI ID,Android,2449.5,Success,0,0,0,0,0,0,0,Morning,0,1,Large (1K-5K),1,0,1,Gen Z (18-25)
TXN00000016,28-03-2022 07:46,28-03-2022,3,2022,7,Monday,USR003285,Ahmedabad,Tier1,33,Female,High,MER00723,Seshadri Restaurant,Food & Beverage,Indore,Amazon Pay,Amazon Pay,1,QR Scan,Android,275.36,Success,0,0,0,0,0,0,0,Morning,0,1,Small (100-500),1,0,1,Millennial (26-35)
TXN00000017,29-09-2023 21:04,29-09-2023,9,2023,21,Friday,USR005807,Hyderabad,Tier1,29,Female,High,MER00439,Prasad Gadget Shop,Electronics,Hyderabad,Google Pay,Google Pay,1,QR Scan,Android,6784.6,Success,0,0,0,0,0,0,0,Night,1,3,Very Large (5K-10K),1,0,0,Millennial (26-35)
TXN00000018,08-11-2022 10:21,08-11-2022,11,2022,10,Tuesday,USR009792,Amritsar,Tier3,35,Female,Medium,MER01425,Ramakrishnan Boutique,Clothing & Fashion,Patna,WhatsApp Pay,WhatsApp Pay,1,UPI ID,Android,2052.22,Success,0,0,0,0,0,0,0,Morning,1,4,Large (1K-5K),1,0,1,Millennial (26-35)
TXN00000019,12-01-2022 22:21,12-01-2022,1,2022,22,Wednesday,USR001979,Visakhapatnam,Tier2,49,Female,High,MER01087,Chand Friend Transfer,P2P Transfer,Coimbatore,PhonePe,PhonePe,1,Payment Link,iOS,1818.72,Success,0,0,0,0,0,0,0,Night,0,1,Large (1K-5K),1,0,1,Senior (46-55)
TXN00000020,07-07-2023 17:49,07-07-2023,7,2023,17,Friday,USR005977,Bareilly,Tier3,20,Male,Medium,MER00290,Mahal Sweet Shop,Food & Beverage,Rajkot,PhonePe,PhonePe,1,UPI ID,Android,330.99,Success,0,0,0,0,0,0,0,Evening,0,3,Small (100-500),1,0,1,Gen Z (18-25)
TXN00000021,11-08-2022 02:40,11-08-2022,8,2022,2,Thursday,USR002422,Chennai,Tier1,19,Female,High,MER00524,Upadhyay Fresh Mart,Grocery,Hyderabad,PhonePe,PhonePe,1,QR Scan,Android,1756.32,Success,1,0,0,0,1,0,0,Late Night,1,3,Large (1K-5K),1,0,1,Gen Z (18-25)
TXN00000022,29-12-2023 07:12,29-12-2023,12,2023,7,Friday,USR004616,Agra,Tier2,28,Female,Low,MER01373,Sant Groww,Investment,Nagpur,PhonePe,PhonePe,1,QR Scan,Web,30286.78,Success,0,0,0,0,0,0,0,Morning,0,4,Ultra (10K+),1,0,1,Millennial (26-35)
TXN00000023,17-09-2022 08:24,17-09-2022,9,2022,8,Saturday,USR000642,Nagpur,Tier2,28,Male,High,MER01111,Rai Fresh Mart,Grocery,Hyderabad,PhonePe,PhonePe,1,Intent,Android,376.41,Pending,0,0,0,0,0,0,1,Morning,1,3,Small (100-500),0,0,1,Millennial (26-35)
TXN00000024,29-04-2022 20:22,29-04-2022,4,2022,20,Friday,USR008509,Visakhapatnam,Tier2,53,Female,Medium,MER01444,Basu Gaming Zone,Entertainment,Vadodara,WhatsApp Pay,WhatsApp Pay,1,QR Scan,Android,866.95,Success,0,0,0,0,0,0,0,Evening,0,2,Medium (500-1K),1,0,1,Senior (46-55)
TXN00000025,22-09-2022 09:19,22-09-2022,9,2022,9,Thursday,USR002830,Patna,Tier2,19,Male,Medium,MER00152,Shroff Family Transfer,P2P Transfer,Coimbatore,Paytm,Paytm,1,QR Scan,iOS,2685.22,Success,0,0,0,0,0,0,0,Morning,1,3,Large (1K-5K),1,0,1,Gen Z (18-25)
TXN00000026,05-10-2022 08:03,05-10-2022,10,2022,8,Wednesday,USR003858,Delhi,Tier1,36,Male,Medium,MER00164,Raju College,Education,Vadodara,Amazon Pay,Amazon Pay,1,Intent,iOS,5018.86,Success,0,0,0,0,0,0,0,Morning,1,4,Very Large (5K-10K),1,0,1,Gen X (36-45)
TXN00000027,05-06-2023 11:11,05-06-2023,6,2023,11,Monday,USR001606,Jaipur,Tier2,35,Male,Power,MER01134,Rajan Residency,Rent,Bhopal,WhatsApp Pay,Google Pay,0,QR Scan,Android,6966.95,Success,0,0,0,0,0,0,0,Morning,0,2,Very Large (5K-10K),1,0,1,Millennial (26-35)
TXN00000028,06-01-2022 07:57,06-01-2022,1,2022,7,Thursday,USR006568,Ahmedabad,Tier1,36,Male,Medium,MER01045,Jha Cab Service,Travel,Kolkata,CRED,CRED,1,QR Scan,iOS,3266.77,Success,0,0,0,0,0,0,0,Morning,0,1,Large (1K-5K),1,0,1,Gen X (36-45)
TXN00000029,07-10-2022 18:34,07-10-2022,10,2022,18,Friday,USR000628,Chandigarh,Tier3,43,Female,High,MER01634,Sinha Fresh Mart,Grocery,Lucknow,Paytm,Paytm,1,UPI ID,iOS,1448.54,Success,0,0,0,0,0,0,0,Evening,1,4,Large (1K-5K),1,0,1,Gen X (36-45)
TXN00000030,14-01-2023 10:00,14-01-2023,1,2023,10,Saturday,USR006623,Chennai,Tier1,34,Female,Medium,MER01260,Madan General Store,Grocery,Jaipur,Paytm,Google Pay,0,QR Scan,iOS,328.27,Success,0,0,0,0,0,0,1,Morning,0,1,Small (100-500),1,0,1,Millennial (26-35)
TXN00000031,01-05-2022 22:03,01-05-2022,5,2022,22,Sunday,USR007306,Patna,Tier2,53,Male,Medium,MER00892,Shanker Lodge,Hotel & Lodging,Rajkot,PhonePe,PhonePe,1,UPI ID,Android,5041.6,Success,0,0,0,0,0,0,1,Night,0,2,Very Large (5K-10K),1,0,1,Senior (46-55)
TXN00000032,30-03-2022 10:47,30-03-2022,3,2022,10,Wednesday,USR004866,Gorakhpur,Tier3,39,Male,Low,MER01760,Bath Nykaa,E-commerce,Lucknow,Amazon Pay,Amazon Pay,1,QR Scan,Android,4036.38,Success,0,0,0,0,0,0,0,Morning,0,1,Large (1K-5K),1,0,1,Gen X (36-45)
TXN00000033,06-07-2023 19:32,06-07-2023,7,2023,19,Thursday,USR003848,Visakhapatnam,Tier2,36,Male,High,MER00354,Sagar Service Apartment,Hotel & Lodging,Kolkata,Google Pay,PhonePe,0,UPI ID,Android,3151.8,Success,0,0,0,0,0,0,0,Evening,0,3,Large (1K-5K),1,0,1,Gen X (36-45)
TXN00000034,24-01-2023 17:38,24-01-2023,1,2023,17,Tuesday,USR000595,Lucknow,Tier2,50,Female,Medium,MER00227,Gulati Family Transfer,P2P Transfer,Hyderabad,Google Pay,Google Pay,1,Payment Link,Android,6219.58,Success,0,0,0,0,0,0,0,Evening,0,1,Very Large (5K-10K),1,0,1,Senior (46-55)
TXN00000035,09-05-2022 14:28,09-05-2022,5,2022,14,Monday,USR002078,Vadodara,Tier2,32,Female,High,MER01362,Prasad Railway Booking,Travel,Surat,Google Pay,Google Pay,1,QR Scan,Android,2677.27,Success,0,0,0,0,0,0,0,Afternoon,0,2,Large (1K-5K),1,0,1,Millennial (26-35)
TXN00000036,25-05-2023 22:56,25-05-2023,5,2023,22,Thursday,USR002180,Delhi,Tier1,35,Male,High,MER01398,Bhatt Coaching Center,Education,Aurangabad,PhonePe,PhonePe,1,Payment Link,Android,5827.07,Success,0,0,0,0,0,0,0,Night,0,2,Very Large (5K-10K),1,0,1,Millennial (26-35)
TXN00000037,14-11-2022 12:46,14-11-2022,11,2022,12,Monday,USR009234,Mumbai,Tier1,33,Female,Medium,MER00685,Ramesh Auto Rickshaw,Auto & Transport,Bhopal,WhatsApp Pay,PhonePe,0,UPI ID,iOS,47.55,Success,0,0,0,0,0,0,0,Afternoon,1,4,Micro (<100),1,0,1,Millennial (26-35)
TXN00000038,06-09-2023 14:11,06-09-2023,9,2023,14,Wednesday,USR000660,Amritsar,Tier3,37,Female,High,MER00901,Babu Petrol Pump,Fuel,Jaipur,CRED,CRED,1,Payment Link,Android,5000,Success,0,0,1,0,1,0,0,Afternoon,1,3,Large (1K-5K),1,0,1,Gen X (36-45)
TXN00000039,20-01-2022 12:16,20-01-2022,1,2022,12,Thursday,USR000609,Delhi,Tier1,34,Female,Medium,MER00935,Sampath Event,Entertainment,Surat,PhonePe,PhonePe,1,Payment Link,Android,1079.28,Success,0,0,0,0,0,0,0,Afternoon,0,1,Large (1K-5K),1,0,1,Millennial (26-35)
TXN00000040,12-02-2022 14:53,12-02-2022,2,2022,14,Saturday,USR006205,Pune,Tier1,22,Male,High,MER01673,Lall Spa,Salon & Wellness,Agra,Google Pay,Google Pay,1,QR Scan,iOS,505.81,Success,0,0,0,0,0,0,1,Afternoon,0,1,Medium (500-1K),1,0,1,Gen Z (18-25)
TXN00000041,09-02-2022 19:51,09-02-2022,2,2022,19,Wednesday,USR002737,Delhi,Tier1,63,Female,High,MER00178,Bobal Health Insurance,Insurance,Mumbai,CRED,CRED,1,UPI ID,iOS,1225.12,Success,0,0,0,0,0,0,0,Evening,0,1,Large (1K-5K),1,0,1,Elder (55+)
TXN00000042,05-08-2023 20:33,05-08-2023,8,2023,20,Saturday,USR003949,Coimbatore,Tier2,24,Female,Medium,MER01573,Shanker Coaching Center,Education,Chennai,Paytm,Paytm,1,UPI ID,Web,4992.32,Success,0,0,0,0,0,0,1,Evening,1,3,Large (1K-5K),1,0,1,Gen Z (18-25)
TXN00000043,24-02-2023 11:50,24-02-2023,2,2023,11,Friday,USR007847,Bangalore,Tier1,47,Male,Medium,MER01237,Issac Inn,Hotel & Lodging,Kanpur,CRED,CRED,1,QR Scan,Android,1471.68,Success,0,0,0,0,0,0,0,Morning,0,1,Large (1K-5K),1,0,1,Senior (46-55)
TXN00000044,20-11-2023 13:50,20-11-2023,11,2023,13,Monday,USR002072,Madurai,Tier2,35,Male,Medium,MER00465,Sen Coaching Center,Education,Varanasi,WhatsApp Pay,WhatsApp Pay,1,Payment Link,iOS,8227.33,Success,0,0,0,0,0,0,0,Afternoon,1,4,Very Large (5K-10K),1,0,1,Millennial (26-35)
TXN00000045,18-08-2023 16:15,18-08-2023,8,2023,16,Friday,USR001167,Aurangabad,Tier3,47,Female,High,MER01938,Bajaj Snapdeal,E-commerce,Hyderabad,WhatsApp Pay,WhatsApp Pay,1,Payment Link,iOS,2304.18,Success,0,0,0,0,0,0,0,Afternoon,1,3,Large (1K-5K),1,0,1,Senior (46-55)
TXN00000046,10-11-2022 19:41,10-11-2022,11,2022,19,Thursday,USR000656,Patna,Tier2,23,Male,High,MER00047,Murty Family Transfer,P2P Transfer,Ahmedabad,Paytm,Paytm,1,UPI ID,Android,2558.03,Success,0,0,0,0,0,0,0,Evening,1,4,Large (1K-5K),1,0,1,Gen Z (18-25)
TXN00000047,19-05-2022 18:55,19-05-2022,5,2022,18,Thursday,USR001823,Chennai,Tier1,38,Female,Low,MER00427,Gupta Insurance Co,Insurance,Mumbai,Google Pay,Google Pay,1,UPI ID,Android,7837.14,Success,0,0,0,0,0,0,0,Evening,0,2,Very Large (5K-10K),1,0,1,Gen X (36-45)
TXN00000048,12-07-2022 08:48,12-07-2022,7,2022,8,Tuesday,USR003073,Chennai,Tier1,28,Female,Medium,MER00080,Sarraf Residency,Rent,Kolkata,PhonePe,PhonePe,1,UPI ID,Web,19457.87,Success,0,0,0,0,0,0,0,Morning,0,3,Ultra (10K+),1,0,1,Millennial (26-35)
TXN00000049,05-07-2022 18:59,05-07-2022,7,2022,18,Tuesday,USR001463,Madurai,Tier2,22,Male,Low,MER01884,Bath Biryani House,Food & Beverage,Amritsar,Google Pay,Google Pay,1,UPI ID,Android,448.97,Success,0,0,0,0,0,0,0,Evening,0,3,Small (100-500),1,0,1,Gen Z (18-25)
TXN00000050,02-12-2023 07:11,02-12-2023,12,2023,7,Saturday,USR009500,Bangalore,Tier1,25,Male,High,MER00436,Basak Bus Service,Travel,Coimbatore,WhatsApp Pay,WhatsApp Pay,1,Payment Link,iOS,3015.99,Success,0,0,0,0,0,0,1,Morning,0,4,Large (1K-5K),1,0,1,Gen Z (18-25)
TXN00000051,09-12-2022 23:37,09-12-2022,12,2022,23,Friday,USR007914,Vadodara,Tier2,20,Male,Medium,MER01330,Bala Service Apartment,Hotel & Lodging,Coimbatore,PhonePe,PhonePe,1,QR Scan,Web,1496.98,Success,0,0,0,0,0,0,0,Night,0,4,Large (1K-5K),1,0,1,Gen Z (18-25)
TXN00000052,12-09-2023 13:48,12-09-2023,9,2023,13,Tuesday,USR009781,Nagpur,Tier2,30,Female,High,MER00522,Mangal Boutique,Clothing & Fashion,Chennai,PhonePe,PhonePe,1,QR Scan,Android,2697.13,Failed,0,0,0,0,0,0,0,Afternoon,1,3,Large (1K-5K),0,1,1,Millennial (26-35)
TXN00000053,25-01-2022 08:39,25-01-2022,1,2022,8,Tuesday,USR006508,Bangalore,Tier1,53,Male,Medium,MER01940,Merchant Snapdeal,E-commerce,Bhopal,Google Pay,Google Pay,1,UPI ID,Web,1530.45,Success,0,0,0,0,0,0,0,Morning,0,1,Large (1K-5K),1,0,1,Senior (46-55)
TXN00000054,02-07-2023 15:28,02-07-2023,7,2023,15,Sunday,USR000247,Kanpur,Tier2,32,Female,Medium,MER00549,Seshadri Snapdeal,E-commerce,Delhi,Google Pay,Google Pay,1,QR Scan,Android,781.86,Success,0,0,0,0,0,0,1,Afternoon,0,3,Medium (500-1K),1,0,1,Millennial (26-35)
TXN00000055,28-01-2023 15:20,28-01-2023,1,2023,15,Saturday,USR002506,Meerut,Tier3,23,Male,Medium,MER01028,Sahota Daily Needs,Grocery,Patna,Paytm,Google Pay,0,Payment Link,iOS,1800.53,Success,0,0,0,0,0,0,1,Afternoon,0,1,Large (1K-5K),1,0,1,Gen Z (18-25)
TXN00000056,07-09-2022 11:12,07-09-2022,9,2022,11,Wednesday,USR006053,Visakhapatnam,Tier2,35,Male,Medium,MER00864,Desai Fresh Mart,Grocery,Mumbai,Paytm,Paytm,1,UPI ID,Android,3665.13,Success,0,1,0,0,1,0,0,Morning,1,3,Large (1K-5K),1,0,1,Millennial (26-35)
TXN00000057,18-04-2023 16:37,18-04-2023,4,2023,16,Tuesday,USR009616,Tiruchirappalli,Tier3,49,Female,Medium,MER00124,Parmer Spa,Salon & Wellness,Kolkata,Google Pay,Google Pay,1,Intent,Android,585.33,Pending,0,0,0,0,0,0,0,Afternoon,0,2,Medium (500-1K),0,0,1,Senior (46-55)
TXN00000058,11-10-2023 15:59,11-10-2023,10,2023,15,Wednesday,USR006474,Ahmedabad,Tier1,60,Male,Low,MER01419,Solanki HP Petrol,Fuel,Kolkata,PhonePe,PhonePe,1,Payment Link,Android,5000,Success,0,0,1,0,1,0,0,Afternoon,1,4,Large (1K-5K),1,0,1,Elder (55+)
TXN00000059,18-09-2023 21:26,18-09-2023,9,2023,21,Monday,USR005445,Visakhapatnam,Tier2,21,Male,Medium,MER01182,Sarma Kirana Store,Grocery,Jaipur,PhonePe,Google Pay,0,UPI ID,Android,845.05,Success,0,0,0,0,0,0,0,Night,1,3,Medium (500-1K),1,0,1,Gen Z (18-25)
TXN00000060,10-09-2023 11:32,10-09-2023,9,2023,11,Sunday,USR005850,Chennai,Tier1,34,Female,Low,MER00132,Garde Daily Needs,Grocery,Ahmedabad,PhonePe,PhonePe,1,UPI ID,Android,636.73,Failed,0,0,0,0,0,0,1,Morning,1,3,Medium (500-1K),0,1,1,Millennial (26-35)
TXN00000061,30-07-2022 20:12,30-07-2022,7,2022,20,Saturday,USR003498,Ahmedabad,Tier1,50,Female,Medium,MER00814,Vohra School Fees,Education,Delhi,Amazon Pay,Amazon Pay,1,QR Scan,iOS,2397.65,Success,0,0,0,0,0,0,1,Evening,0,3,Large (1K-5K),1,0,1,Senior (46-55)
TXN00000062,15-11-2023 22:24,15-11-2023,11,2023,22,Wednesday,USR002862,Agra,Tier2,27,Male,High,MER01608,Kumer Dhaba,Food & Beverage,Pune,Paytm,Paytm,1,QR Scan,Android,1201.7,Success,0,1,0,0,1,0,0,Night,1,4,Large (1K-5K),1,0,1,Millennial (26-35)
TXN00000063,20-07-2023 22:54,20-07-2023,7,2023,22,Thursday,USR002202,Surat,Tier2,23,Male,Low,MER01763,Bassi Supermart,Grocery,Guwahati,Paytm,Paytm,1,Payment Link,iOS,500.96,Success,0,0,0,0,0,0,0,Night,0,3,Medium (500-1K),1,0,1,Gen Z (18-25)
TXN00000064,28-10-2023 22:01,28-10-2023,10,2023,22,Saturday,USR008173,Gorakhpur,Tier3,34,Male,Medium,MER00725,Suri Personal Transfer,P2P Transfer,Noida,Google Pay,Google Pay,1,Payment Link,Android,5829.42,Success,0,0,0,0,0,0,1,Night,1,4,Very Large (5K-10K),1,0,1,Millennial (26-35)
TXN00000065,16-02-2023 11:18,16-02-2023,2,2023,11,Thursday,USR004995,Gorakhpur,Tier3,21,Female,Medium,MER00631,Bhasin Garments,Clothing & Fashion,Visakhapatnam,Paytm,Paytm,1,QR Scan,Android,1072.47,Success,0,0,0,0,0,0,0,Morning,0,1,Large (1K-5K),1,0,1,Gen Z (18-25)
TXN00000066,21-06-2022 14:03,21-06-2022,6,2022,14,Tuesday,USR005593,Bangalore,Tier1,21,Female,Medium,MER00341,Varkey Ola,Auto & Transport,Pune,Paytm,Paytm,1,QR Scan,iOS,136.56,Pending,0,0,0,0,0,0,0,Afternoon,0,2,Small (100-500),0,0,1,Gen Z (18-25)
TXN00000067,08-01-2023 11:26,08-01-2023,1,2023,11,Sunday,USR001086,Bareilly,Tier3,33,Female,Low,MER00569,Iyengar Service Apartment,Hotel & Lodging,Jodhpur,PhonePe,PhonePe,1,QR Scan,Android,7143.64,Success,0,0,0,0,0,0,1,Morning,0,1,Very Large (5K-10K),1,0,1,Millennial (26-35)
TXN00000068,18-01-2023 03:42,18-01-2023,1,2023,3,Wednesday,USR009092,Visakhapatnam,Tier2,21,Female,High,MER00045,Dugal Rapido,Auto & Transport,Chennai,PhonePe,PhonePe,1,UPI ID,Android,157.63,Success,1,0,0,0,1,0,0,Late Night,0,1,Small (100-500),1,0,1,Gen Z (18-25)
TXN00000069,05-04-2022 11:37,05-04-2022,4,2022,11,Tuesday,USR002987,Kolkata,Tier1,20,Female,Low,MER00437,Gola Housing,Rent,Chennai,Google Pay,Google Pay,1,QR Scan,Android,9412.41,Success,0,0,0,0,0,0,0,Morning,0,2,Very Large (5K-10K),1,0,1,Gen Z (18-25)
TXN00000070,04-08-2022 15:26,04-08-2022,8,2022,15,Thursday,USR009727,Meerut,Tier3,47,Female,Power,MER00903,Basak Gas Agency,Utilities,Nashik,PhonePe,PhonePe,1,Payment Link,Android,2841.48,Success,0,0,0,0,0,0,0,Afternoon,1,3,Large (1K-5K),1,0,1,Senior (46-55)
TXN00000071,10-01-2022 16:34,10-01-2022,1,2022,16,Monday,USR005640,Madurai,Tier2,20,Female,High,MER01962,Bhatia Electric Board,Utilities,Kolkata,PhonePe,PhonePe,1,Intent,Android,3129.15,Success,0,0,0,0,0,0,0,Afternoon,0,1,Large (1K-5K),1,0,1,Gen Z (18-25)
TXN00000072,07-03-2022 23:55,07-03-2022,3,2022,23,Monday,USR005866,Pune,Tier1,32,Female,Medium,MER00831,Varughese Restaurant,Food & Beverage,Chandigarh,PhonePe,PhonePe,1,QR Scan,Android,368.07,Success,0,0,0,0,0,0,0,Night,0,1,Small (100-500),1,0,1,Millennial (26-35)
TXN00000073,16-06-2023 23:38,16-06-2023,6,2023,23,Friday,USR007903,Kanpur,Tier2,27,Male,High,MER01734,Samra Uber,Auto & Transport,Chennai,Amazon Pay,Amazon Pay,1,UPI ID,iOS,121.52,Success,0,0,0,0,0,0,0,Night,0,2,Small (100-500),1,0,1,Millennial (26-35)
TXN00000074,19-02-2023 11:14,19-02-2023,2,2023,11,Sunday,USR008021,Kanpur,Tier2,34,Other,Low,MER01402,Deshmukh Fuel Station,Fuel,Jabalpur,PhonePe,Paytm,0,UPI ID,Android,1104.18,Success,0,0,0,0,0,0,1,Morning,0,1,Large (1K-5K),1,0,1,Millennial (26-35)
TXN00000075,12-12-2022 17:32,12-12-2022,12,2022,17,Monday,USR002520,Chennai,Tier1,42,Male,Medium,MER00770,Agrawal Hotel,Hotel & Lodging,Nagpur,PhonePe,PhonePe,1,QR Scan,iOS,4773.48,Success,0,0,0,0,0,0,0,Evening,0,4,Large (1K-5K),1,0,1,Gen X (36-45)
TXN00000076,30-12-2022 06:03,30-12-2022,12,2022,6,Friday,USR008731,Mumbai,Tier1,24,Female,Medium,MER01027,Gupta Inn,Hotel & Lodging,Surat,Paytm,Paytm,1,QR Scan,Android,4243.21,Success,0,0,0,0,0,0,0,Morning,0,4,Large (1K-5K),1,0,1,Gen Z (18-25)
TXN00000077,08-07-2023 08:34,08-07-2023,7,2023,8,Saturday,USR005801,Delhi,Tier1,28,Female,Medium,MER01884,Bath Biryani House,Food & Beverage,Amritsar,PhonePe,PhonePe,1,QR Scan,iOS,138.21,Success,0,0,0,0,0,0,1,Morning,0,3,Small (100-500),1,0,1,Millennial (26-35)
TXN00000078,14-06-2023 21:46,14-06-2023,6,2023,21,Wednesday,USR004889,Surat,Tier2,19,Male,Medium,MER00290,Mahal Sweet Shop,Food & Beverage,Rajkot,Google Pay,Google Pay,1,QR Scan,iOS,385.79,Success,0,0,0,0,0,0,0,Night,0,2,Small (100-500),1,0,1,Gen Z (18-25)
TXN00000079,05-08-2023 19:40,05-08-2023,8,2023,19,Saturday,USR003154,Ahmedabad,Tier1,32,Female,Low,MER00008,Ranganathan Uber,Auto & Transport,Visakhapatnam,Google Pay,Google Pay,1,QR Scan,Android,189.48,Success,0,0,0,0,0,0,1,Evening,1,3,Small (100-500),1,0,1,Millennial (26-35)
TXN00000080,03-06-2022 14:12,03-06-2022,6,2022,14,Friday,USR000735,Delhi,Tier1,29,Male,High,MER00041,Khatri Juice Corner,Food & Beverage,Kolkata,PhonePe,Google Pay,0,Payment Link,Android,89.3,Success,0,0,0,0,0,0,0,Afternoon,0,2,Micro (<100),1,0,1,Millennial (26-35)
TXN00000081,17-08-2023 11:16,17-08-2023,8,2023,11,Thursday,USR008954,Pune,Tier1,36,Female,High,MER01566,Baral Flipkart,E-commerce,Bangalore,Google Pay,Google Pay,1,UPI ID,Android,1237.08,Success,0,0,0,0,0,0,0,Morning,1,3,Large (1K-5K),1,0,1,Gen X (36-45)
